sex,age,h.cent,h.cm,bpC50,bpC90,bpC95,bpC9512,bp
2,4,5,97.2,89,103,107,119,sbp
2,4,10,98.8,90,104,108,120,sbp
2,4,25,101.4,91,105,109,121,sbp
2,4,50,104.5,92,106,109,121,sbp
2,4,75,107.6,93,107,110,122,sbp
2,4,90,110.5,94,108,111,123,sbp
2,4,95,112.2,94,108,112,124,sbp
2,5,5,103.6,90,104,108,120,sbp
2,5,10,105.3,91,105,109,121,sbp
2,5,25,108.2,92,106,109,121,sbp
2,5,50,111.5,93,107,110,122,sbp
2,5,75,114.9,94,108,111,123,sbp
2,5,90,118.1,95,109,112,124,sbp
2,5,95,120,96,110,113,125,sbp
2,6,5,110,92,105,109,121,sbp
2,6,10,111.8,92,106,109,121,sbp
2,6,25,114.9,93,107,110,122,sbp
2,6,50,118.4,94,108,111,123,sbp
2,6,75,122.1,96,109,112,124,sbp
2,6,90,125.6,97,110,113,125,sbp
2,6,95,127.7,97,111,114,126,sbp
2,7,5,115.9,92,106,109,121,sbp
2,7,10,117.8,93,106,110,122,sbp
2,7,25,121.1,94,107,111,123,sbp
2,7,50,124.9,95,109,112,124,sbp
2,7,75,128.8,97,110,113,125,sbp
2,7,90,132.5,98,111,114,126,sbp
2,7,95,134.7,99,112,115,127,sbp
2,8,5,121,93,107,110,122,sbp
2,8,10,123,94,107,111,123,sbp
2,8,25,126.5,95,108,112,124,sbp
2,8,50,130.6,97,110,113,125,sbp
2,8,75,134.7,98,111,115,127,sbp
2,8,90,138.5,99,112,116,128,sbp
2,8,95,140.9,100,113,117,129,sbp
2,9,5,125.3,95,108,112,124,sbp
2,9,10,127.6,95,108,112,124,sbp
2,9,25,131.3,97,109,113,125,sbp
2,9,50,135.6,98,111,114,126,sbp
2,9,75,140.1,99,112,116,128,sbp
2,9,90,144.1,100,113,117,129,sbp
2,9,95,146.6,101,114,118,130,sbp
2,10,5,129.7,96,109,113,125,sbp
2,10,10,132.2,97,110,114,126,sbp
2,10,25,136.3,98,111,114,126,sbp
2,10,50,141,99,112,116,128,sbp
2,10,75,145.8,101,113,117,129,sbp
2,10,90,150.2,102,115,119,131,sbp
2,10,95,152.8,103,116,120,132,sbp
2,11,5,135.6,98,111,115,127,sbp
2,11,10,138.3,99,112,116,128,sbp
2,11,25,142.8,101,113,117,129,sbp
2,11,50,147.8,102,114,118,130,sbp
2,11,75,152.8,104,116,120,132,sbp
2,11,90,157.3,105,118,123,135,sbp
2,11,95,160,106,120,124,136,sbp
2,12,5,142.8,102,114,118,130,sbp
2,12,10,145.5,102,115,119,131,sbp
2,12,25,149.9,104,116,120,132,sbp
2,12,50,154.8,105,118,122,134,sbp
2,12,75,159.6,107,120,124,136,sbp
2,12,90,163.8,108,122,125,137,sbp
2,12,95,166.4,108,122,126,138,sbp
2,13,5,148.1,104,116,121,133,sbp
2,13,10,150.6,105,117,122,134,sbp
2,13,25,154.7,106,119,123,135,sbp
2,13,50,159.2,107,121,124,136,sbp
2,13,75,163.7,108,122,126,138,sbp
2,13,90,167.8,108,123,126,138,sbp
2,13,95,170.2,109,123,127,139,sbp
2,14,5,150.6,105,118,123,135,sbp
2,14,10,153,106,118,123,135,sbp
2,14,25,156.9,107,120,124,136,sbp
2,14,50,161.3,108,122,125,137,sbp
